text,timestamp,likes,retweets
Pls share: Microbiology faculty position available at Texas A&amp;M University. https://t.co/v2j2lNJbnt,Sat Sep 21 21:32:24 +0000 2024,163,151
Chennedy Carter Texas A&amp;M NCAA College highlights for the timeline 😮‍💨🔥 https://t.co/DdRKyT8oZR,Sat Sep 21 16:38:39 +0000 2024,1793,250
"I’m 30.
I don’t get Botox.
I don’t wear makeup like ever. 
I own a Construction Business.
I make everything a joke.
I trade stock/crypto because I love both.
&amp; I’m free of the woke mind virus.

What do you see? https://t.co/MjI9h0ge86",Thu Aug 01 21:39:44 +0000 2024,17153,538
"This is the stupidest thing I’ve ever seen. Texas A&amp;M is a national embarrassment. 

(Video via @Geaux402) https://t.co/c4ERETlHm6",Fri Mar 22 17:14:02 +0000 2024,5591,426
"I’m running for U.S. Senate because Texans deserve a Senator whose team is Texas. Ted Cruz only cares about himself.

Join our campaign today: https://t.co/2dROrrQrPV https://t.co/9iz9yu1rFb",Wed May 03 11:45:12 +0000 2023,69510,18313
some asshole texas a&amp;m students made a more profitable but less hot jalapeño pepper and that’s why they suck now. unbelievable https://t.co/91leZH6Df3,Tue Mar 05 16:05:39 +0000 2024,37116,4814
"As the Falcons prep to head to College Station, the #25 Texas A&amp;M Aggies are not taking @BG_Football lightly. Falcon transfer Cashius Howell spoke praise for his former team. 🏈 https://t.co/0S339EXonu",Fri Sep 20 14:00:02 +0000 2024,19,0
"Best QBs in College Football Since 2010

1 Jameis Winston (FSU)
2 Joe Burrow (LSU)
3 Cam Newton (Auburn)
4 Deshaun Watson (Clemson)
5 Johnny Manziel (Texas A&amp;M)
6 Baker Mayfield (Oklahoma)
7 Caleb Williams (USC)
8 Trevor Lawrence (Clemson)
9 Marcus Mariota (Oregon)
10 Lamar https://t.co/fCIywlIMlH",Fri Jan 26 22:15:44 +0000 2024,2681,290
"Texas A&amp;M Delta Zetas welcomes you to the 2024-25 school year

https://t.co/XwIQRLUIA9",Fri Aug 16 03:33:18 +0000 2024,8495,471
Texas A&amp;M defensive lineman Shemar Turner was ejected for this act after the play. https://t.co/vUfXAs8PI0,Sat Nov 04 19:04:19 +0000 2023,14975,1184
"What a ride it has been. ❤️ I’m so grateful for it all. 
https://t.co/Bq0dtGjR7j https://t.co/dAUKCVDIso",Tue Jan 09 22:17:58 +0000 2024,7586,992
Am I tripping or did Texas A&amp;M just miss that field goal?!,Sun Sep 22 02:13:24 +0000 2024,24,3
"One day after Texas A&amp;M plays in Game 3 of the College World Series finals, the entire coaching staff is heading Texas https://t.co/DuIznaCmtf",Wed Jun 26 04:00:00 +0000 2024,8604,603
"Today is Kimberly’s 21st birthday and she is not here because of gun violence. She was shot and killed at Santa Fe HS on 5-18-18. Instead of buying her a beverage today, I’m in court against the parents of her shooter. We NEED to do better. 🤟🏼 https://t.co/mYsf2vjUsB",Mon Aug 12 16:52:47 +0000 2024,7590,1779
