,event,preprocessed_text
156,Florida,coach elko is currently on the aggie football radio hour and says they had an idea that marcel reed would be qb for florida on thursday of last week based on the way conner weigman was progressing it was beginning to trend that way later in the week thman gigem
157,Florida,final texas aampm florida gators marcel reed finishing the day for passing yards amp tds while adding yards amp td on the ground aggies are amp in the sec feels like we know what will be a talking point in college station this week thman gigem
158,Florida,its gameday in gainesville thman gigem bthoflorida
159,Georgia,dsf official hate watch agenda for cfb saturday south carolina fsu georgia texas aampm ou oregon kent st i wish nothing but the worst for all schools listed above for hours
160,Georgia,yall lost to texas aampm congrats on losing to georgia by
161,Georgia,ap poll week texas passe devant georgia entres dillinois et texas aampm dans le top la place de arizona et boston college
163,Gig 'em,congrats amp gig em to the aggies who are graduating today we are so proud of you tamu aggies gigem aggieland tamugrad tamu
164,Gig 'em,fuel up before the game see whats open for breakfast on campus by visiting our website or downloading our free dine on campus app gig em aggies tamu gameday aggies aggieland gigem btho
165,Gig 'em,gig em ags fresh fashion for all the aggie kiddos shop kids styles with the below shopthewarehouse aggies gigem tamu aggieland aggie futureaggie aggiekid aggiebaby aggietoddler
166,Gig 'em,gig em is the future bright at college station now that the jimbo fisher era has come to an end pawsup thman gigem aggies tamu aggieland
167,Howdy,howdy from aggie park week of college football is here and so is our third aggie game day show preview texas aampms match up against bowling green with us at am on
168,Howdy,everyday this week stop by grub and a good burger and milkshake aggie tamu tamu tamu tamu tamu howdy aggies gigem food tamuveterans tamuvrsc burgers fun whoop aggieland profitshare bcstx
169,Howdy,today is the last day to get bogo off all womens apparel whoop gigem howdy aggie tamu aggieland thman reveille aggies putanaggieringonit tamu aggiebound tamu tamu
170,Howdy,last day dont miss out on getting off all champion and adidas merchandise aggies tamu tamu tamu gigem howdy whoop aggieland putanaggieringonit thman bncollege aggiebound aggies aggie
171,Howdy,introducing our newest creation the collegestation bryan tamu aggies texas aggieland comfortfood macncheese macandcheese gigem howdy brunch cheeses cheesy
172,Howdy,its all in the details get off all logoed items online only visit us at asap aggies whoop gigem howdy aggie tamu aggieland thman reveille aggies putanaggieringonit tamu aggiebound tamu tamu
175,Howdy,will you be attending both softball games today we are see you at the game aggies whoop gigem howdy thman tamu tamu tamu aggiebound softball reveille aggies aggie aggieland
176,Howdy,our bags are packed for spring break are yours tamu gigem howdy springbreak aggie aggieland tamu tamu bncollege aggies thman aggiebound cstat
177,Howdy,off all fleece instore and online dont miss out tamu gigem howdy whoop tamu tamu aggies aggieland thman aggie aggiebound bncollege
178,Howdy,starting today get off all fleece cold weather gear and outwear in store and online this sale ends wednesday so jump on it asap gigem howdy whoop aggie tamu tamu tamu tamu aggieland bncollege aggies
179,Howdy,edm night local djs no cover wells at the knight club on wellborn rd next to daiquiri barn tamu tamu tamu tamu tamu gigemweek gigem aggieland aggies aggienightlife howdyweek tamu
180,Howdy,whos excited for spring break we are stay safe and have fun aggies tamu gigem howdy whoop tamu tamu aggies aggieland thman aggie aggiebound bncollege allthingscollege cstat springbreak
181,Howdy,whoop get off all fleece starting today this sale ends friday so hurry in aggies tamu gigem howdy whoop tamu tamu aggies aggieland thman aggie aggiebound bncollege
182,Howdy,flash sale welcome back aggies get off all cold weather gear starting today this sale ends friday so come by asap to stock up whoop gigem howdy tamu aggies aggieland sale
183,Howdy,howdy if youre a tamu aggies student alumni or fan then you know to reply with peaksapparel gigem aggieland newkitday kitdoping triathlon training triathlete fitfluential ironmantri ironmantriathlon bestcyclingkits kitfit triapparel ironmantri ironmannews
184,Howdy,happy national oreo day what is your favorite type of oreo original mint red velvet fudge covered mega stuffed let us know below tamu gigem howdy whoop tamu tamu aggies aggieland thman aggie aggiebound bncollege
185,Howdy,dont forget you can get a whole pizza for just five dollars every single thursday in our cafe tag someone down below and tell them to come get lunch with you tamu gigem howdy whoop tamu tamu aggies aggieland thman aggie aggiebound bncollege
186,Howdy,howdy i am thrilled to share that i have started my doctoral study and a new position graduate assistantteaching in the department of plant pathology and microbiology at texas aampm university college station tx gigem phdstudent tamu aggieland howdy aggies gigem
187,Howdy,couldnt have said it better admpsy howdy collegestation bryan bcstx ags tamu aggies gigem ag texas aggieland centurysquare brunch breakfast waffles comfortfood
